Start Date,Start Hour:Minute,End Hour:Minute,,
8/20/2024,16:16,16:33,0:17,
8/21/2024,15:17,16:35,1:18,
8/22/2024,9:30,10:29,0:59,
8/23/2024,7:59,8:30,0:31,
8/27/2024,12:27,13:34,1:07,
8/28/2024,11:30,13:16,1:46,
8/29/2024,10:15,10:46,0:31,
8/30/2024,14:12,16:07,1:55,
9/10/2024,13:38,15:15,1:37,
9/11/2024,8:38,9:42,1:04,
9/12/2024,8:50,9:19,0:29,
9/13/2024,9:20,10:44,1:24,
9/16/2024,13:24,15:04,1:40,
9/17/2024,15:35,16:00,0:25,
9/18/2024,8:38,9:07,0:29,
9/19/2024,14:34,15:09,0:35,
9/20/2024,10:13,10:59,0:46,
9/23/2024,13:26,14:53,1:27,
9/24/2024,11:59,13:31,1:32,
9/25/2024,14:21,15:32,1:11,
9/26/2024,7:16,8:10,0:54,
9/27/2024,8:33,8:51,0:18,
9/30/2024,9:12,10:52,1:40,
10/1/2024,8:57,9:29,0:32,
10/2/2024,7:43,8:49,1:06,
10/3/2024,12:42,13:03,0:21,
10/4/2024,9:15,10:54,1:39,
10/7/2024,11:43,13:35,1:52,
10/8/2024,12:38,13:03,0:25,
10/9/2024,16:09,16:45,0:36,
10/10/2024,13:02,14:47,1:45,
10/11/2024,13:05,13:29,0:24,
10/14/2024,15:25,16:07,0:42,
10/15/2024,7:08,8:54,1:46,
